Index,ADC_Sample,Original_Signal,FFT_Real,FFT_Imag
        147,79bc,79bc,0018b6e,7ff7c1e
        148,678d,678d,001d551,7ff159c
        149,4b3c,4b3c,001ab93,7fe869d
        150,278d,278d,001301d,7fe51d4
        151,0000,0000,000e737,7fe8408
        152,d873,d873,00108a9,7fea736
        153,b4c4,b4c4,00138c0,7fe6113
        154,9873,9873,0010476,7fde9e1
        155,8644,8644,0007a2e,7fdc0d8
        156,8001,8001,000156b,7fe0411
        157,8644,8644,0001bcf,7fe4b2b
        158,9873,9873,00043f2,7fe339e
        159,b4c4,b4c4,00019c2,7fde1a5
        160,d873,d873,7ff9965,7fdce3a
        161,0000,0000,7ff3338,7fe261c
        162,278d,278d,7ff3783,7fe8fbb
        163,4b3c,4b3c,7ff6e84,7fea28e
        164,678d,678d,7ff651d,7fe6fb9
        165,79bc,79bc,7ff05d2,7fe686e
        166,7fff,7fff,7feb438,7fec632
        167,79bc,79bc,7fec858,7ff3efa
        168,678d,678d,7ff1b2c,7ff6752
        169,4b3c,4b3c,7ff3c51,7ff3efb
        170,278d,278d,7ff068e,7ff2e18
        171,0000,0000,7fecf33,7ff7940
        172,d873,d873,7fef355,7ffe6d3
        173,b4c4,b4c4,7ff5c6b,0000b83
        174,9873,9873,7ff9ede,7ffd795
        175,8644,8644,7ff87c3,7ffa926
        176,8001,8001,7ff5db4,7ffce3f
        177,8644,8644,7ff80ef,0001e19
        178,9873,9873,7ffeaee,0003047
        179,b4c4,b4c4,000372c,7ffe72f
        180,d873,d873,00027b6,7ff9626
        181,0000,0000,7fff484,7ff9277
        182,278d,278d,7ffff52,7ffc412
        183,4b3c,4b3c,0005128,7ffc74a
        184,678d,678d,0008f0a,7ff7261
        185,79bc,79bc,000723a,7ff0c8a
        186,7fff,7fff,00024bd,7feefeb
        187,79bc,79bc,00007f5,7ff140a
        188,678d,678d,00033c0,7ff1b9a
        189,4b3c,4b3c,0005802,7fed1c6
        190,278d,278d,0002808,7fe7072
        191,0000,0000,7ffbfb5,7fe53c6
        192,d873,d873,7ff7e4c,7fe81a6
        193,b4c4,b4c4,7ff88ee,7fea3ee
        194,9873,9873,7ff9baf,7fe7c07
        195,8644,8644,7ff653e,7fe358f
        196,8001,8001,7fef3a4,7fe2c2b
        197,8644,8644,7fea1bd,7fe727c
        198,9873,9873,7fe9ff6,7feba96
        199,b4c4,b4c4,7feb68b,7febdad
        200,0000,0000,7fe9175,7fe98e8
        201,0000,0000,7fe3091,7fea513
        202,0000,0000,7fde813,7ff0063
        203,0000,0000,7fdf16e,7ff6662
        204,0000,0000,7fe211e,7ff8a54
        205,0000,0000,7fe217f,7ff7b16
        206,0000,0000,7fde4fe,7ff8d2d
        207,0000,0000,7fdb6d8,7ffe97b
        208,0000,0000,7fdd79c,0005650
        209,0000,0000,7fe27bc,0008364
        210,0000,0000,7fe51e0,0007261
        211,0000,0000,7fe3ba0,00072a7
        212,0000,0000,7fe2686,000b6a9
        213,0000,0000,7fe5816,00110f5
        214,0000,0000,7febced,0013008
        215,0000,0000,7ff023a,00109c1
        216,0000,0000,7ff0226,000e72b
        217,0000,0000,7fef3ec,0010354
        218,0000,0000,7ff20c2,0013d8e
        219,0000,0000,7ff81e5,0014596
        220,0000,0000,7ffc900,0010643
        221,0000,0000,7ffc714,000c14f
        222,0000,0000,7ffa8c1,000b8ad
        223,0000,0000,7ffb9af,000d87a
        224,0000,0000,7ffffd9,000d349
        225,0000,0000,000339a,00089bd
        226,0000,0000,0001e7d,00034b7
        227,0000,0000,7ffe2b2,0001ae7
        228,0000,0000,7ffccff,00034b8
        229,0000,0000,7ffef88,0003872
        230,0000,0000,0000ad4,7fffd4e
        231,0000,0000,7ffe2c2,7ffb1eb
        232,0000,0000,7ff8ebe,7ff9f36
        233,0000,0000,7ff5aca,7ffc8f4
        234,0000,0000,7ff6426,7ffea2a
        235,0000,0000,7ff7445,7ffd13f
        236,0000,0000,7ff4abd,7ffa197
        237,0000,0000,7fef3aa,7ffa43d
        238,0000,0000,7feb862,7ffe74b
